order_id,user_id,amount,quantity,created_at,status
A2147,0887,,,2025-12-06T13:20:00Z,Paid
A4978,0896,319.98,2,2025-12-09T14:44:00Z,Paid
A3545,0122,347.12,7,,Paid
A2905,0009,180.41,7,2025-12-05T22:11:00Z,Paid
A1648,0796,19.17,,2025-05-01T08:20:00Z,paid
A0808,0356,50.59,5,2025-08-23T14:11:00Z,refunded
A0905,0097,357.59,3,,paid
A2182,0547,204.46,3,2025-06-29T08:14:00Z,paid
A2210,0341,444.6,1,2025-06-21T22:29:00Z,Paid
A1394,0952,132.85,4,2025-12-01T16:11:00Z,
A0908,0800,156.46,5,2025-04-30T15:31:00Z,Pending
A0075,0992,,,2025-11-23T03:40:00Z,refund
A2715,0735,450.63,,2025-04-04T10:59:00Z,paid
A1402,0035,180.65,2,,refunded
A2720,0502,190.97,7,2025-09-04T08:37:00Z,Pending
A2120,0295,215.98,9,2025-01-19T16:53:00Z,
A3779,0633,369.27,3,2025-03-31T09:51:00Z,PAID
A1730,0971,343.59,4,2025-11-07T00:03:00Z,paid
A3082,0641,50.55,8,2025-02-25T03:09:00Z,
A4131,0085,172.24,5,2025-03-17T18:58:00Z,Refunded
A4934,0854,388.54,9,,Refunded
A4781,0510,118.61,8,2025-04-21T18:17:00Z,Pending
A3310,0801,408.79,4,2025-01-07T12:28:00Z,refunded
A2693,0315,173.36,5,2025-02-02T21:02:00Z,PAID
A0647,0535,78.74,2,2025-10-05T06:52:00Z,refunded
A0178,0195,37.99,2,2025-08-19T22:02:00Z,refund
A4173,0469,373.76,8,,Pending
A3072,0043,320.2,3,2025-09-04T01:23:00Z,PAID
A1740,0285,297.31,2,2025-12-06T22:42:00Z,refund
A0042,0823,309.58,1,2025-08-12T14:46:00Z,PAID
A4344,0358,210.37,7,2025-04-18T23:50:00Z,refunded
A1105,0165,373.95,9,2025-06-06T00:10:00Z,paid
A0607,0217,230.03,1,2025-06-16T15:25:00Z,
A0326,0126,466.28,4,2025-11-15T15:07:00Z,
A4818,0309,334.45,2,2025-07-13T07:58:00Z,
A3982,0503,413.8,7,2025-06-23T10:12:00Z,
A0204,0148,17.92,1,2025-06-12T09:33:00Z,refunded
A3395,0047,373.2,5,,Pending
A0367,0028,129.05,5,2025-12-14T15:15:00Z,
A4424,0527,50.58,8,2025-04-01T08:50:00Z,Paid
A2218,0828,108.15,9,2025-10-25T20:00:00Z,Paid
A2377,0462,63.57,5,2025-02-25T22:29:00Z,PAID
A1029,0520,49.28,7,2025-10-10T14:33:00Z,refund
A1422,0181,,6,2025-09-10T04:55:00Z,refunded
A0480,0522,82.1,,,refund
A1533,0667,23.24,4,2025-01-19T10:37:00Z,Paid
A1074,0262,327.68,2,2025-04-06T10:12:00Z,paid
A0725,0852,25.57,2,2025-02-16T19:40:00Z,PAID
A4771,0311,425.82,3,,paid
A2521,0225,234.71,5,2025-07-22T02:54:00Z,paid
A4192,0165,238.57,2,2025-08-31T08:00:00Z,refund
A4573,0346,105.43,4,2025-08-11T23:47:00Z,Paid
A0872,0500,209.92,6,2025-06-13T15:19:00Z,refunded
A4308,0333,224.82,5,2025-07-13T23:05:00Z,paid
A4115,0314,120.83,4,2025-07-04T06:16:00Z,Paid
A4674,0741,317.28,7,2025-08-03T01:17:00Z,PAID
A1426,0252,300.33,1,2025-04-20T19:13:00Z,PAID
A3190,0883,,3,2025-04-30T21:06:00Z,
A0471,0936,66.87,7,2025-07-13T20:18:00Z,PAID
A0189,0734,183.45,9,2025-10-08T06:43:00Z,PAID
A3782,0688,460.71,1,2025-11-27T20:20:00Z,refunded
A2044,0243,278.64,2,2025-10-19T17:51:00Z,Paid
A1495,0086,395.18,3,2025-02-20T02:46:00Z,refunded
A0148,0889,,9,2025-01-09T09:02:00Z,refunded
A4635,0687,315.31,3,2025-07-05T05:49:00Z,Pending
A2606,0409,171.98,8,2025-05-08T07:16:00Z,Refunded
A1389,0861,271.91,,2025-05-19T09:09:00Z,Pending
A0778,0916,431.27,4,2025-03-12T14:36:00Z,paid
A3271,0032,17.45,7,2025-12-19T10:36:00Z,Refunded
A0344,0039,366.26,9,2025-08-06T01:14:00Z,Pending
A0519,0248,61.02,4,,Refunded
A2624,0770,142.35,2,2025-06-26T16:08:00Z,refund
A3939,0631,315.72,6,2025-01-28T17:39:00Z,Refunded
A3764,0455,134.1,,2025-04-11T03:09:00Z,refund
A0126,0582,164.56,9,2025-11-02T01:59:00Z,Pending
A2617,0448,325.07,4,2025-10-19T14:34:00Z,paid
A0185,0275,83.55,4,2025-11-19T12:26:00Z,refunded
A0348,0446,243.64,4,2025-03-22T21:46:00Z,Paid
A3538,0936,270.31,2,2025-07-06T12:45:00Z,Refunded
A4894,0848,314.56,6,2025-07-17T00:21:00Z,Refunded
A1667,0425,163.51,2,,
A1527,0621,162.37,4,2025-06-06T06:29:00Z,Refunded
A2988,0552,174.99,6,,refund
A4498,0950,89.21,8,2025-05-11T02:01:00Z,Refunded
A1996,0521,384.93,7,2025-02-20T07:45:00Z,Pending
A1262,0115,347.02,3,2025-06-28T07:58:00Z,paid
A0785,0241,348.27,2,2025-12-17T05:10:00Z,PAID
A1676,0473,249.39,5,2025-12-02T12:48:00Z,
A2071,0505,155.35,3,2025-04-09T09:40:00Z,Paid
A0015,0743,261.29,9,2025-11-30T04:56:00Z,refunded
A0878,0553,179.93,5,2025-02-13T02:02:00Z,Paid
A3152,0672,163.45,6,,refunded
A4577,0492,,1,2025-01-19T05:20:00Z,paid
A4897,0286,,5,2025-12-19T09:38:00Z,Pending
A1172,0745,98.92,3,2025-09-07T01:05:00Z,Pending
A2914,0210,365.17,2,2025-07-03T03:51:00Z,
A0282,0576,,8,2025-10-12T10:04:00Z,refunded
A4091,0895,6.17,8,2025-03-11T22:12:00Z,Refunded
A3615,0082,,7,2025-03-18T22:21:00Z,refunded
A0676,0387,319.83,3,2025-03-10T12:09:00Z,
A0952,0987,493.54,4,2025-02-09T18:01:00Z,Paid
A0980,0246,431.45,9,2025-01-09T12:59:00Z,refunded
A0876,0174,53.53,9,2025-04-03T18:39:00Z,refunded
A3360,0765,49.69,5,2025-02-02T10:40:00Z,Refunded
A3904,0754,,,2025-03-14T10:58:00Z,
A4445,0656,376.34,4,2025-04-18T17:16:00Z,Pending
A3534,0321,43.94,8,2025-11-26T10:40:00Z,
A4892,0571,446.76,5,2025-01-16T14:55:00Z,
A1022,0195,,,,paid
A3884,0017,,6,2025-12-21T13:00:00Z,
A1275,0370,474.76,2,2025-02-28T18:33:00Z,Paid
A4218,0378,80.79,8,2025-11-25T04:39:00Z,refunded
A0537,0717,298.56,4,,Paid
A0101,0182,236.75,7,2025-07-24T21:30:00Z,Refunded
A0034,0559,,6,2025-03-07T12:31:00Z,refund
A3957,0501,110.38,,2025-09-18T05:22:00Z,paid
A0474,0122,145.92,3,2025-06-03T13:32:00Z,refunded
A3977,0442,110.22,7,2025-03-02T21:18:00Z,refunded
A0168,0024,83.57,7,2025-07-13T16:00:00Z,Refunded
A0013,0667,112.36,4,,
A0193,0038,350.98,,2025-06-04T20:03:00Z,refunded
A1210,0904,17.32,1,2025-06-16T22:12:00Z,paid
A3756,0571,42.87,2,2025-09-27T02:46:00Z,refund
A4130,0689,423.44,7,2025-07-28T18:06:00Z,Refunded
A1252,0979,200.48,7,2025-07-23T05:32:00Z,paid
A3033,0156,382.95,9,2025-02-24T01:56:00Z,Pending
A0823,0401,,6,2025-02-15T22:03:00Z,Refunded
A0374,0828,418.47,8,2025-06-28T20:08:00Z,paid
A2409,0895,374.42,7,2025-09-10T22:38:00Z,refunded
A1672,0706,135.76,8,2025-07-20T00:02:00Z,refunded
A0795,0521,130.14,9,2025-12-04T18:12:00Z,refunded
A1952,0149,111.13,3,2025-06-29T15:40:00Z,Refunded
A1474,0092,141.93,3,,
A1181,0885,473.32,8,2025-11-19T18:48:00Z,Pending
A1919,0191,285.53,7,2025-05-02T11:26:00Z,refunded
A4945,0712,49.48,5,2025-09-20T16:25:00Z,refund
A1121,0103,37.03,8,2025-01-01T17:33:00Z,PAID
A1063,0165,43.74,7,2025-10-01T18:27:00Z,PAID
A2544,0654,289.82,7,2025-04-26T11:03:00Z,
A0305,0682,34.54,5,2025-11-18T16:45:00Z,Paid
A4321,0207,478.49,8,,PAID
A3864,0810,188.86,5,2025-01-19T19:29:00Z,
A4618,0513,408.12,6,2025-11-23T05:19:00Z,Refunded
A0054,0864,119.33,8,2025-03-27T00:41:00Z,refunded
A2666,0040,429.11,7,2025-08-04T15:55:00Z,refunded
A4103,0794,87.37,2,2025-01-01T09:07:00Z,paid
A1646,0925,350.38,1,2025-08-16T23:59:00Z,
A0106,0837,327.56,2,2025-01-27T13:49:00Z,
A3263,0458,,7,2025-09-17T01:42:00Z,refund
A4176,0901,111.78,1,2025-01-23T19:25:00Z,Refunded
A2992,0289,240.97,,2025-12-12T06:25:00Z,
A4652,0180,252.15,,2025-03-24T02:05:00Z,Pending
A2851,0074,136.62,6,2025-05-13T03:36:00Z,refunded
A1160,0273,487.26,8,2025-12-09T14:40:00Z,refund
A2863,0836,374.25,3,2025-10-03T18:25:00Z,Refunded
A0424,0354,27.28,3,2025-01-28T07:27:00Z,Refunded
A1144,0081,249.31,5,2025-06-05T18:06:00Z,Paid
A0498,0282,373.23,8,2025-11-10T06:01:00Z,refund
A4673,0276,401.77,1,,Refunded
A1884,0427,214.4,3,2025-07-28T03:55:00Z,refunded
A0097,0399,146.37,3,2025-12-14T05:36:00Z,refunded
A4837,0645,82.89,5,2025-05-31T18:51:00Z,Paid
A3463,0372,396.05,5,2025-02-26T09:44:00Z,Refunded
A4391,0050,64.98,2,,paid
A4240,0296,428.36,1,2025-07-28T03:37:00Z,Pending
A3184,0959,273.41,4,,Refunded
A0736,0512,295.28,4,2025-09-28T02:15:00Z,Refunded
A2629,0403,465.7,3,2025-07-10T15:21:00Z,PAID
A4932,0955,50.14,2,2025-10-11T05:40:00Z,Refunded
A2535,0388,497.97,6,2025-09-10T02:49:00Z,PAID
A4022,0546,169.63,7,2025-09-17T11:29:00Z,paid
A0455,0853,,4,2025-12-06T22:02:00Z,refunded
A1960,0819,346.14,2,2025-01-18T04:49:00Z,Pending
A2110,0233,485.33,3,2025-04-08T10:02:00Z,Refunded
A2127,0421,96.95,4,2025-11-02T05:29:00Z,paid
A4125,0289,128.08,4,2025-11-19T21:28:00Z,Pending
A3492,0680,322.98,9,2025-01-17T04:17:00Z,Refunded
A3848,0144,72.09,3,2025-03-21T14:48:00Z,Refunded
A4885,0345,237.31,9,2025-10-27T07:15:00Z,Paid
A2079,0320,386.7,1,2025-03-14T20:53:00Z,Paid
A0449,0131,389.32,1,2025-10-31T23:14:00Z,
A2705,0980,16.05,6,2025-07-25T02:46:00Z,paid
A0728,0913,187.67,,,PAID
A1545,0856,46.8,2,2025-08-15T17:47:00Z,Refunded
A4326,0778,279.47,3,2025-04-09T03:20:00Z,Pending
A2445,0845,7.26,9,2025-08-22T01:12:00Z,refunded
A3464,0163,492.15,3,2025-08-16T12:17:00Z,refunded
A0336,0846,124.27,,2025-07-27T13:34:00Z,refund
A1427,0687,325.13,9,2025-01-14T19:42:00Z,Paid
A0025,0441,185.79,4,2025-02-13T10:57:00Z,paid
A3978,0215,153.79,7,2025-09-15T06:42:00Z,Paid
A0063,0215,364.03,3,2025-07-07T06:42:00Z,paid
A4961,0228,,3,2025-03-31T00:25:00Z,Paid
A3224,0224,354.58,1,2025-10-11T12:35:00Z,
A4741,0839,421.3,5,,refunded
A2053,0974,477.88,6,2025-10-29T19:36:00Z,Refunded
A3836,0612,497.58,8,2025-12-06T22:48:00Z,Paid
A4681,0148,,8,,refunded
A1406,0681,386.72,2,2025-06-05T20:21:00Z,refunded
A2873,0286,92.08,7,2025-12-05T23:33:00Z,PAID
A1327,0142,347.91,8,2025-01-10T07:39:00Z,paid
A0393,0084,408.4,4,2025-11-08T14:13:00Z,refund
A3679,0357,476.46,3,2025-07-08T07:25:00Z,refunded
A0233,0341,321.38,3,2025-03-16T23:21:00Z,refunded
A0991,0398,487.71,9,2025-04-21T16:53:00Z,Paid
A3281,0401,,,2025-01-27T09:41:00Z,refund
A1602,0043,299.52,9,2025-05-01T00:00:00Z,refunded
A4915,0695,377.52,9,2025-09-11T00:10:00Z,refund
A2793,0829,395.11,,2025-08-14T15:01:00Z,
A1947,0435,327.07,9,,PAID
A2937,0156,185.69,3,2025-10-28T06:49:00Z,Pending
A1647,0198,77.14,9,2025-12-11T19:04:00Z,refund
A0289,0729,,7,2025-02-21T18:23:00Z,Refunded
A3817,0014,428.35,,2025-11-29T00:12:00Z,refunded
A3737,0117,24.58,5,2025-12-09T14:34:00Z,Refunded
A1748,0299,46.66,2,2025-01-11T09:17:00Z,
A2536,0791,375.74,5,2025-10-27T06:57:00Z,refund
A3191,0276,27.51,9,2025-01-16T00:33:00Z,paid
A0354,0386,72.78,7,2025-09-25T14:07:00Z,paid
A1878,0379,196.6,3,2025-06-18T09:31:00Z,refunded
A3674,0944,284.26,8,2025-10-06T04:29:00Z,Refunded
A1232,0952,283.57,6,2025-05-16T23:56:00Z,paid
A2208,0938,200.16,5,,PAID
A2924,0586,369.62,,2025-01-06T17:37:00Z,refund
A2644,0201,359.99,,2025-02-02T15:30:00Z,refunded
A0125,0550,103.14,2,2025-05-14T20:06:00Z,refunded
A1973,0987,167.27,5,2025-02-25T06:37:00Z,Paid
A2290,0105,199.51,6,2025-08-23T16:58:00Z,PAID
A1712,0850,450.1,5,2025-09-19T21:52:00Z,Paid
A0592,0564,49.51,8,2025-10-11T04:20:00Z,
A4259,0387,,6,2025-01-30T01:10:00Z,PAID
A3132,0301,39.06,9,2025-08-15T07:58:00Z,paid
A3327,0934,478.81,7,2025-04-17T00:45:00Z,PAID
A3361,0429,305.53,8,2025-12-09T17:30:00Z,refund
A1739,0818,195.14,2,2025-09-14T13:36:00Z,refund
A0596,0084,414.94,2,,PAID
A4334,0825,317.63,9,2025-09-27T01:08:00Z,Refunded
A3530,0941,205.22,6,2025-06-13T18:20:00Z,paid
A2584,0370,370.65,4,2025-11-07T10:16:00Z,Paid
A0230,0001,12.98,1,2025-02-19T11:19:00Z,refunded
A2648,0593,455.95,8,2025-06-26T00:24:00Z,PAID
A0141,0385,126.9,9,2025-08-07T06:40:00Z,refunded
A0173,0056,387.46,7,2025-01-14T15:55:00Z,refunded
A4050,0799,72.28,,2025-08-27T05:36:00Z,Pending
A1853,0145,367.28,4,2025-05-23T19:39:00Z,refunded
A0638,0003,350.31,4,2025-01-28T23:58:00Z,paid
A3167,0173,407.97,,,refunded
A3991,0607,363.9,8,2025-05-03T22:10:00Z,refunded
A4207,0895,,9,2025-02-25T08:54:00Z,Pending
A2088,0059,240.08,3,2025-09-20T17:43:00Z,Paid
A0903,0517,110.96,1,,Pending
A4670,0977,241.46,2,2025-11-24T11:59:00Z,Refunded
A0124,0079,29.76,6,2025-05-05T02:03:00Z,refunded
A3729,0894,291.61,8,2025-05-08T10:17:00Z,Paid
A4970,0630,364.79,2,2025-08-08T12:34:00Z,refunded
A3903,0005,149.13,,2025-10-02T03:19:00Z,Pending
A1610,0869,35.49,5,2025-05-17T09:12:00Z,paid
A2534,0632,54.72,6,2025-09-11T17:10:00Z,Paid
A4242,0850,482.87,4,2025-03-01T00:21:00Z,Refunded
A4373,0027,267.07,,2025-07-11T17:45:00Z,Refunded
A0855,0471,466.53,3,2025-08-07T08:31:00Z,
A1075,0383,274.95,5,2025-05-20T01:14:00Z,Paid
A0074,0143,399.14,3,2025-08-19T11:53:00Z,refunded
A2655,0248,9.35,4,,paid
A1182,0844,,8,,paid
A4075,0125,,4,,Refunded
A3177,0442,,6,2025-07-05T15:11:00Z,Paid
A0705,0119,352.99,2,2025-08-30T22:53:00Z,paid
A1915,0301,306.31,4,2025-06-30T20:21:00Z,paid
A3913,0413,234.83,4,2025-08-16T22:48:00Z,paid
A3565,0339,390.5,6,2025-06-15T16:38:00Z,Paid
A1717,0368,306.45,,2025-07-14T01:29:00Z,Refunded
A3430,0687,173.76,9,2025-08-04T02:37:00Z,paid
A4483,0537,81.52,2,2025-02-11T14:16:00Z,Pending
A3230,0861,138.55,,2025-05-26T16:35:00Z,Refunded
A0716,0319,372.86,1,2025-08-11T20:11:00Z,refunded
A4757,0346,48.71,4,2025-03-13T22:09:00Z,PAID
A3061,0052,219.53,8,2025-06-19T07:58:00Z,refund
A4387,0152,6.12,6,,Pending
A3337,0613,30.12,8,2025-09-01T04:52:00Z,refund
A0937,0651,43.56,5,2025-02-08T05:51:00Z,refund
A3402,0036,452.02,7,2025-02-18T13:57:00Z,Paid
A1123,0919,27.91,6,2025-06-16T11:43:00Z,refund
A3251,0397,72.87,9,2025-06-21T16:33:00Z,Pending
A3374,0115,351.22,6,2025-01-11T22:34:00Z,refund
A1320,0288,72.89,2,,PAID
A2627,0355,57.86,8,2025-05-14T14:53:00Z,Pending
A0559,0688,231.27,,2025-10-22T18:33:00Z,refund
A1724,0887,113.37,3,2025-10-24T04:46:00Z,Refunded
A3824,0186,365.9,1,2025-07-18T18:19:00Z,Paid
A4869,0687,258.48,2,2025-01-11T03:55:00Z,
A4962,0334,283.55,3,,PAID
A0105,0683,486.04,3,2025-11-13T16:39:00Z,PAID
A2229,0429,339.88,8,,Refunded
A1071,0909,99.29,8,2025-06-20T07:18:00Z,Pending
A1431,0064,98.85,3,2025-04-19T20:11:00Z,refunded
A3028,0402,109.02,9,,refund
A2781,0073,266.81,4,2025-02-03T09:39:00Z,Pending
A0083,0039,274.45,7,2025-03-06T09:11:00Z,paid
A1497,0661,124.58,7,2025-07-18T01:29:00Z,Pending
A1061,0326,254.87,5,2025-08-01T14:16:00Z,refund
A2038,0708,203.1,9,2025-05-13T04:55:00Z,refund
A2382,0025,189.41,3,2025-01-02T06:24:00Z,Paid
A1922,0880,427.25,6,2025-05-01T07:13:00Z,refunded
A4742,0802,286.64,8,2025-10-12T20:16:00Z,refunded
A2064,0079,123.06,5,2025-09-06T00:04:00Z,Refunded
A1208,0744,,2,2025-05-01T23:51:00Z,refunded
A2659,0334,182.76,3,2025-09-30T07:06:00Z,PAID
A3325,0679,396.72,5,2025-11-30T08:39:00Z,
A2721,0462,334.85,8,2025-01-01T20:10:00Z,Paid
A1705,0295,457.06,,2025-03-31T23:56:00Z,Pending
A0004,0619,95.27,7,2025-09-17T20:50:00Z,PAID
A1733,0893,9.31,,2025-02-24T14:08:00Z,PAID
A4228,0720,459.81,7,2025-07-13T08:43:00Z,Refunded
A2934,0606,63.27,2,2025-12-12T19:11:00Z,refund
A1584,0054,125.45,6,2025-06-04T15:47:00Z,refunded
A2289,0482,374.39,5,2025-05-25T15:22:00Z,
A2423,0111,367.75,3,2025-06-17T01:15:00Z,
A2261,0437,343.74,6,2025-06-09T04:10:00Z,paid
A1901,0388,227.52,,2025-11-20T04:28:00Z,refunded
A1786,0987,322.84,3,2025-03-29T09:38:00Z,Refunded
A0051,0763,390.7,8,2025-05-23T07:35:00Z,refunded
A1294,0584,79.02,5,2025-07-27T18:09:00Z,refund
A3128,0498,128.94,2,2025-05-13T09:19:00Z,refunded
A2757,0920,384.6,9,2025-08-02T21:25:00Z,paid
A3459,0516,341.12,2,,Paid
A3622,0623,413.11,3,2025-04-21T16:32:00Z,Refunded
A4793,0659,,1,2025-03-25T19:38:00Z,
A1432,0648,447.41,,2025-03-18T04:41:00Z,Pending
A2635,0951,381.26,5,2025-12-16T15:42:00Z,Refunded
A2287,0804,235.3,5,2025-04-27T07:40:00Z,Pending
A1255,0237,,2,2025-10-05T20:45:00Z,paid
A1077,0740,454.93,3,2025-02-16T17:38:00Z,refunded
A1620,0555,72.25,3,2025-11-09T16:32:00Z,PAID
A0664,0515,65.36,,2025-12-10T20:29:00Z,Refunded
A3371,0134,324.72,6,2025-06-19T17:10:00Z,paid
A0466,0459,231.6,2,2025-01-01T14:32:00Z,Refunded
A1965,0002,192.12,6,2025-01-27T00:46:00Z,Pending
A2467,0421,253.17,2,2025-06-07T19:12:00Z,refunded
A3865,0445,18.03,4,2025-09-17T03:32:00Z,Paid
A0243,0173,353.69,8,2025-04-17T06:30:00Z,refunded
A3555,0878,334.47,6,2025-06-23T00:27:00Z,refund
A4037,0992,,,2025-11-09T04:22:00Z,Paid
A2360,0190,,5,2025-03-30T15:07:00Z,Refunded
A0652,0020,167.1,9,2025-04-17T14:04:00Z,refunded
A1763,0932,168.06,3,2025-04-04T16:26:00Z,
A4383,0542,444.39,9,2025-12-05T23:53:00Z,Paid
A1814,0382,437.52,2,2025-04-21T23:00:00Z,paid
A2090,0375,175.81,6,,refund
A3797,0751,5.68,9,2025-09-22T11:00:00Z,Paid
A2952,0634,90.76,5,2025-07-14T20:22:00Z,refund
A0235,0359,299.36,4,2025-10-18T18:15:00Z,refunded
A1910,0027,219.55,3,2025-08-25T00:32:00Z,Paid
A4718,0087,385.11,9,2025-12-03T22:48:00Z,Refunded
